req_id,module,document,section,page,upstream_ids,status,confidence,evidence,rationale
SWS_CANIF_00378,CanIf,can_interface,5.7.1 Code file structure,24,,partial,0.80,communication/CanIf/inc/CanIf_ConfigTypes.h:347-381 communication/CanIf/inc/CanIf_ConfigTypes.h:303-345,"While there are structures that reference configurations and callout functions for CAN drivers, the specific requirement for a set of function pointers for each CanDrv is not fully satisfied."
SWS_CANIF_00672,CanIf,can_interface,5.7.2 Header file structure,24,,implemented,0.90,communication/CanIf/inc/CanIf.h:27-71,"The code in CanIf.h contains extern declarations of constants, fulfilling the requirement for the header file structure."
SWS_CANIF_00903,CanIf,can_interface,5.7.2 Header file structure,24,SRS_Can_01172,missing,1.00,,None of the candidates include the header file Mirror.h when Bus Mirroring is enabled.
SWS_CANIF_00023,CanIf,can_interface,7.2 Hardware object handles,30,SRS_Can_01001,partial,0.80,communication/CanIf/src/CanIf.c:82-84,"The code includes an annotation that claims to implement the requirement, but without seeing the actual implementation, it is unclear if it fully adheres to the requirement."
SWS_CANIF_00291,CanIf,can_interface,7.2 Hardware object handles,30,,implemented,0.90,communication/CanIf/inc/CanIf_ConfigTypes.h:134-159,"The structure CanIf_HrhConfigType clearly defines a handle referencing a logical Hardware Receive Object, which aligns with the requirement."
SWS_CANIF_00662,CanIf,can_interface,7.2 Hardware object handles,30,,implemented,0.90,communication/CanIf/inc/CanIf_ConfigTypes.h:182-197 communication/CanIf/inc/CanIf_ConfigTypes.h:161-180 communication/CanIf/inc/CanIf_ConfigTypes.h:134-159,The code defines both types of Hardware Object Handles (HTH and HRH) as required.
SWS_CANIF_00663,CanIf,can_interface,7.2 Hardware object handles,30,,partial,0.80,communication/CanIf/src/CanIf.c:1131-1132 communication/CanIf/inc/CanIf_ConfigTypes.h:134-159,"While there are indications of software filtering being related to BasicCAN in the code, it is not clear if the actual implementation of enabling software filtering is present."
SWS_CANIF_00664,CanIf,can_interface,7.2 Hardware object handles,30,,missing,1.00,,None of the candidates implement the requirement that each HRH belongs to a single or fixed group of Rx L-SDU.
SWS_CANIF_00665,CanIf,can_interface,7.2 Hardware object handles,30,,unverifiable,0.00,,The candidates do not provide sufficient information to determine if the requirement is implemented.
SWS_CANIF_00115,CanIf,can_interface,7.2 Hardware object handles,32,,missing,0.90,,"None of the candidates implement the requirement for CanIf to use all HRHs and HTHs of one CanDrv as a common, single numbering area starting with zero."
SWS_CANIF_00292,CanIf,can_interface,7.2 Hardware object handles,32,,implemented,0.90,communication/CanIf/inc/CanIf_ConfigTypes.h:161-180,"The code defines a structure that includes a unique identifier for the Hardware Transmit Handle, fulfilling the requirement."
SWS_CANIF_00466,CanIf,can_interface,7.2 Hardware object handles,32,,unverifiable,0.90,,"The provided code does not clearly indicate whether each CanIf Tx L-PDU is statically assigned to a CanIfBufferCfg configuration container, as required."
SWS_CANIF_00666,CanIf,can_interface,7.2 Hardware object handles,32,,missing,1.00,,None of the candidates implement the requirement for enabling CanIf to use BasicCAN or FullCAN transmission methods and confirming a transmitted L-SDU.
SWS_CANIF_00667,CanIf,can_interface,7.2 Hardware object handles,32,,unverifiable,0.50,,The candidates do not provide sufficient information to determine if the requirement regarding HTHs and their association with Tx L-PDUs is implemented.
SWS_CANIF_00188,CanIf,can_interface,7.4.1 Dynamic Transmit L-PDUs,34,,missing,1.00,,None of the candidates implement the requirement to process the two most significant bits of the CanId for determining the type of CanId used.
SWS_CANIF_00673,CanIf,can_interface,7.4.1 Dynamic Transmit L-PDUs,34,,missing,1.00,,The candidates do not implement the requirement for guaranteeing data consistency of the CanId in the context of the specified functions.
